,id,Brown dwarf,Constellation,Right ascension,Declination,Distance,Mass,Radius,Discovery year,star_names,distance,mass,radius
57,57,2MASS J00274197+0503417,Pisces,0h 27m 41.97s,5° 3′ 41.7″,236.0,0.029592228,0.1479787199999999,0.0,Rigel,0860,23,78.9
58,58,2MASS J00274197+0503417,Pisces,0h 27m 41.97s,5° 3′ 41.7″,236.0,0.029592228,0.1479787199999999,0.0,Rigel,0860,23,78.9
59,59,2MASS J00274197+0503417,Pisces,0h 27m 41.97s,5° 3′ 41.7″,236.0,0.029592228,0.1479787199999999,0.0,Rigel,0860,23,78.9
70,70,2MASSW J0030300-145033,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,87.2,0.051547752,0.1007077399999999,0.0,Procyon,0011.4,1.5,1.9
71,71,2MASSW J0030300-145033,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,87.2,0.051547752,0.1007077399999999,0.0,Procyon,0011.4,1.5,1.9
72,72,2MASSW J0030300-145033,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,87.2,0.051547752,0.1007077399999999,0.0,Betelgeuse,0640[1],20,950
73,73,2MASSW J0030300-145033,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,87.2,0.051547752,0.1007077399999999,0.0,Betelgeuse,0640[1],20,950
74,74,2MASSW J0030300-145033,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,87.2,0.051547752,0.1007077399999999,0.0,Betelgeuse,0640[1],20,950
75,75,2MASSW J0030300-145033,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,87.2,0.051547752,0.1007077399999999,0.0,Betelgeuse,0640[1],20,950
76,76,2MASSW J0030300-145033,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,87.2,0.051547752,0.1007077399999999,0.0,Betelgeuse,0640[1],20,950
77,77,2MASSW J0030300-145033,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,87.2,0.051547752,0.1007077399999999,0.0,Betelgeuse,0640[1],20,950
78,78,2MASSW J0030300-145033,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,87.2,0.051547752,0.1007077399999999,0.0,Betelgeuse,0640[1],20,950
79,79,2MASSW J0030300-145033,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,87.2,0.051547752,0.1007077399999999,0.0,Betelgeuse,0640[1],20,950
80,80,2MASS J00332386-1521309 [de],Cetus,0h 33m 23.86s,−15° 21′ ″,131.0,0.027683052,0.1469510899999999,0.0,Achernar,0144,6.7,9.3
81,81,2MASS J00332386-1521309 [de],Cetus,0h 33m 23.86s,−15° 21′ ″,131.0,0.027683052,0.1469510899999999,0.0,Achernar,0144,6.7,9.3
82,82,2MASS J00332386-1521309 [de],Cetus,0h 33m 23.86s,−15° 21′ ″,131.0,0.027683052,0.1469510899999999,0.0,Achernar,0144,6.7,9.3
83,83,2MASS J00332386-1521309 [de],Cetus,0h 33m 23.86s,−15° 21′ ″,131.0,0.027683052,0.1469510899999999,0.0,Achernar,0144,6.7,9.3
84,84,2MASS J00332386-1521309 [de],Cetus,0h 33m 23.86s,−15° 21′ ″,131.0,0.027683052,0.1469510899999999,0.0,Achernar,0144,6.7,9.3
85,85,2MASS J00332386-1521309 [de],Cetus,0h 33m 23.86s,−15° 21′ ″,131.0,0.027683052,0.1469510899999999,0.0,Achernar,0144,6.7,9.3
86,86,2MASS J00332386-1521309 [de],Cetus,0h 33m 23.86s,−15° 21′ ″,131.0,0.027683052,0.1469510899999999,0.0,Achernar,0144,6.7,9.3
87,87,2MASS J00332386-1521309 [de],Cetus,0h 33m 23.86s,−15° 21′ ″,131.0,0.027683052,0.1469510899999999,0.0,Achernar,0144,6.7,9.3
88,88,2MASS J00332386-1521309 [de],Cetus,0h 33m 23.86s,−15° 21′ ″,131.0,0.027683052,0.1469510899999999,0.0,Hadar,0390,10.5,8.6
89,89,2MASS J00332386-1521309 [de],Cetus,0h 33m 23.86s,−15° 21′ ″,131.0,0.027683052,0.1469510899999999,0.0,Hadar,0390,10.5,8.6
90,90,2MASS J00345157+0523050,Pisces,0h 34m 51.57s,5° 23′ 5″,31.0,0.040092696,0.0965972199999999,0.0,Hadar,0390,10.5,8.6
91,91,2MASS J00345157+0523050,Pisces,0h 34m 51.57s,5° 23′ 5″,31.0,0.040092696,0.0965972199999999,0.0,Hadar,0390,10.5,8.6
92,92,2MASS J00345157+0523050,Pisces,0h 34m 51.57s,5° 23′ 5″,31.0,0.040092696,0.0965972199999999,0.0,Hadar,0390,10.5,8.6
93,93,2MASS J00345157+0523050,Pisces,0h 34m 51.57s,5° 23′ 5″,31.0,0.040092696,0.0965972199999999,0.0,Hadar,0390,10.5,8.6
94,94,2MASS J00345157+0523050,Pisces,0h 34m 51.57s,5° 23′ 5″,31.0,0.040092696,0.0965972199999999,0.0,Hadar,0390,10.5,8.6
95,95,2MASS J00345157+0523050,Pisces,0h 34m 51.57s,5° 23′ 5″,31.0,0.040092696,0.0965972199999999,0.0,Hadar,0390,10.5,8.6
96,96,2MASS J00345157+0523050,Pisces,0h 34m 51.57s,5° 23′ 5″,31.0,0.040092696,0.0965972199999999,0.0,Altair,0017,1.8,1.8
97,97,2MASS J00345157+0523050,Pisces,0h 34m 51.57s,5° 23′ 5″,31.0,0.040092696,0.0965972199999999,0.0,Altair,0017,1.8,1.8
98,98,2MASS J00345157+0523050,Pisces,0h 34m 51.57s,5° 23′ 5″,31.0,0.040092696,0.0965972199999999,0.0,Altair,0017,1.8,1.8
99,99,2MASS J00345157+0523050,Pisces,0h 34m 51.57s,5° 23′ 5″,31.0,0.040092696,0.0965972199999999,0.0,Altair,0017,1.8,1.8
100,100,2MASS 0036+1821,Pisces,0h 36m 16.17s,18° 21′ 10.4″,28.6,0.040092696,0.0965972199999999,2000.0,Altair,0017,1.8,1.8
101,101,2MASS 0036+1821,Pisces,0h 36m 16.17s,18° 21′ 10.4″,28.6,0.040092696,0.0965972199999999,2000.0,Altair,0017,1.8,1.8
102,102,2MASS 0036+1821,Pisces,0h 36m 16.17s,18° 21′ 10.4″,28.6,0.040092696,0.0965972199999999,2000.0,Altair,0017,1.8,1.8
103,103,2MASS 0036+1821,Pisces,0h 36m 16.17s,18° 21′ 10.4″,28.6,0.040092696,0.0965972199999999,2000.0,Altair,0017,1.8,1.8
104,104,2MASS 0036+1821,Pisces,0h 36m 16.17s,18° 21′ 10.4″,28.6,0.040092696,0.0965972199999999,2000.0,Acrux,0320,18,8.9
