,id,Brown dwarf,Constellation,Right ascension,Declination,App.mag.,Distance,Spectraltype,Mass,Radius,Discovery year,star_names,distance,mass,radius,luminosity
32,32,2MASS J00242463-0158201,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,0.0,37.7,M9.5,0.075412452,0.11201167000000001,0.0,Arcturus,0037,1.1,26,170
33,33,2MASS J00242463-0158201,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,0.0,37.7,M9.5,0.075412452,0.11201167000000001,0.0,Arcturus,0037,1.1,26,170
34,34,2MASS J00242463-0158201,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,0.0,37.7,M9.5,0.075412452,0.11201167000000001,0.0,Arcturus,0037,1.1,26,170
35,35,2MASS J00242463-0158201,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,0.0,37.7,M9.5,0.075412452,0.11201167000000001,0.0,Arcturus,0037,1.1,26,170
36,36,2MASS J00242463-0158201,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,0.0,37.7,M9.5,0.075412452,0.11201167000000001,0.0,Arcturus,0037,1.1,26,170
37,37,2MASS J00242463-0158201,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,0.0,37.7,M9.5,0.075412452,0.11201167000000001,0.0,Arcturus,0037,1.1,26,170
38,38,2MASS J00242463-0158201,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,0.0,37.7,M9.5,0.075412452,0.11201167000000001,0.0,Arcturus,0037,1.1,26,170
39,39,2MASS J00242463-0158201,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,0.0,37.7,M9.5,0.075412452,0.11201167000000001,0.0,Arcturus,0037,1.1,26,170
40,40,2MASS J00250365+4759191AB,Cassiopeia,0h 25m 3.65s,47° 59′ 19.1″,0.0,143.0,L4,0.0,0.0,0.0,Vega,0025,2.2,2.7,50
41,41,2MASS J00250365+4759191AB,Cassiopeia,0h 25m 3.65s,47° 59′ 19.1″,0.0,143.0,L4,0.0,0.0,0.0,Vega,0025,2.2,2.7,50
42,42,2MASS J00250365+4759191AB,Cassiopeia,0h 25m 3.65s,47° 59′ 19.1″,0.0,143.0,L4,0.0,0.0,0.0,Vega,0025,2.2,2.7,50
43,43,2MASS J00250365+4759191AB,Cassiopeia,0h 25m 3.65s,47° 59′ 19.1″,0.0,143.0,L4,0.0,0.0,0.0,Vega,0025,2.2,2.7,50
44,44,2MASS J00250365+4759191AB,Cassiopeia,0h 25m 3.65s,47° 59′ 19.1″,0.0,143.0,L4,0.0,0.0,0.0,Vega,0025,2.2,2.7,50
45,45,2MASS J00250365+4759191AB,Cassiopeia,0h 25m 3.65s,47° 59′ 19.1″,0.0,143.0,L4,0.0,0.0,0.0,Vega,0025,2.2,2.7,50
46,46,2MASS J00250365+4759191AB,Cassiopeia,0h 25m 3.65s,47° 59′ 19.1″,0.0,143.0,L4,0.0,0.0,0.0,Vega,0025,2.2,2.7,50
47,47,2MASS J00250365+4759191AB,Cassiopeia,0h 25m 3.65s,47° 59′ 19.1″,0.0,143.0,L4,0.0,0.0,0.0,Vega,0025,2.2,2.7,50
48,48,2MASS J00250365+4759191AB,Cassiopeia,0h 25m 3.65s,47° 59′ 19.1″,0.0,143.0,L4,0.0,0.0,0.0,Capella,0043,2.6,12,150
49,49,2MASS J00250365+4759191AB,Cassiopeia,0h 25m 3.65s,47° 59′ 19.1″,0.0,143.0,L4,0.0,0.0,0.0,Capella,0043,2.6,12,150
50,50,2MASS J00274197+0503417,Pisces,0h 27m 41.97s,5° 3′ 41.7″,0.0,236.0,M9.5β,0.029592228,0.14797871999999998,0.0,Capella,0043,2.6,12,150
51,51,2MASS J00274197+0503417,Pisces,0h 27m 41.97s,5° 3′ 41.7″,0.0,236.0,M9.5β,0.029592228,0.14797871999999998,0.0,Capella,0043,2.6,12,150
52,52,2MASS J00274197+0503417,Pisces,0h 27m 41.97s,5° 3′ 41.7″,0.0,236.0,M9.5β,0.029592228,0.14797871999999998,0.0,Capella,0043,2.6,12,150
53,53,2MASS J00274197+0503417,Pisces,0h 27m 41.97s,5° 3′ 41.7″,0.0,236.0,M9.5β,0.029592228,0.14797871999999998,0.0,Capella,0043,2.6,12,150
54,54,2MASS J00274197+0503417,Pisces,0h 27m 41.97s,5° 3′ 41.7″,0.0,236.0,M9.5β,0.029592228,0.14797871999999998,0.0,Capella,0043,2.6,12,150
55,55,2MASS J00274197+0503417,Pisces,0h 27m 41.97s,5° 3′ 41.7″,0.0,236.0,M9.5β,0.029592228,0.14797871999999998,0.0,Capella,0043,2.6,12,150
56,56,2MASS J00274197+0503417,Pisces,0h 27m 41.97s,5° 3′ 41.7″,0.0,236.0,M9.5β,0.029592228,0.14797871999999998,0.0,Rigel,0860,23,78.9,"120,000"
57,57,2MASS J00274197+0503417,Pisces,0h 27m 41.97s,5° 3′ 41.7″,0.0,236.0,M9.5β,0.029592228,0.14797871999999998,0.0,Rigel,0860,23,78.9,"120,000"
58,58,2MASS J00274197+0503417,Pisces,0h 27m 41.97s,5° 3′ 41.7″,0.0,236.0,M9.5β,0.029592228,0.14797871999999998,0.0,Rigel,0860,23,78.9,"120,000"
59,59,2MASS J00274197+0503417,Pisces,0h 27m 41.97s,5° 3′ 41.7″,0.0,236.0,M9.5β,0.029592228,0.14797871999999998,0.0,Rigel,0860,23,78.9,"120,000"
60,60,2MASS J00275592+2219328,Andromeda,0h 27m 55.92s,22° 19′ 32.8″,0.0,46.9,M8,0.0,0.0,0.0,Rigel,0860,23,78.9,"120,000"
61,61,2MASS J00275592+2219328,Andromeda,0h 27m 55.92s,22° 19′ 32.8″,0.0,46.9,M8,0.0,0.0,0.0,Rigel,0860,23,78.9,"120,000"
62,62,2MASS J00275592+2219328,Andromeda,0h 27m 55.92s,22° 19′ 32.8″,0.0,46.9,M8,0.0,0.0,0.0,Rigel,0860,23,78.9,"120,000"
63,63,2MASS J00275592+2219328,Andromeda,0h 27m 55.92s,22° 19′ 32.8″,0.0,46.9,M8,0.0,0.0,0.0,Rigel,0860,23,78.9,"120,000"
64,64,2MASS J00275592+2219328,Andromeda,0h 27m 55.92s,22° 19′ 32.8″,0.0,46.9,M8,0.0,0.0,0.0,Procyon,0011.4,1.5,1.9,7.7
65,65,2MASS J00275592+2219328,Andromeda,0h 27m 55.92s,22° 19′ 32.8″,0.0,46.9,M8,0.0,0.0,0.0,Procyon,0011.4,1.5,1.9,7.7
66,66,2MASS J00275592+2219328,Andromeda,0h 27m 55.92s,22° 19′ 32.8″,0.0,46.9,M8,0.0,0.0,0.0,Procyon,0011.4,1.5,1.9,7.7
